"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.713865234609471E9,"2024-04-23 11:40:34.609 UTC+02:00"
"PAUSE",1.755857075005770E1,1.713865252168006E9,"2024-04-23 11:40:52.168 UTC+02:00"
