"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.713866101718238E9,"2024-04-23 11:55:01.718 UTC+02:00"
"PAUSE",2.245180224999785E1,1.713866124185169E9,"2024-04-23 11:55:24.185 UTC+02:00"
