"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.358107917E-1,8.557220459E0,-8.659820557E0,-5.457516479E1,5.591660868E1
7.457727917E-1,8.459320068E0,-8.634826660E0,-5.486584473E1,5.618168069E1
7.557347916E-1,8.568084717E0,-8.618095398E0,-5.472073364E1,5.605392345E1
7.656967917E-1,8.488983154E0,-8.644264221E0,-5.466537476E1,5.599186848E1
7.756587917E-1,8.632354736E0,-8.741020203E0,-5.473320007E1,5.609497458E1
7.856207917E-1,8.548797607E0,-8.591186523E0,-5.455186462E1,5.588198601E1
7.955837917E-1,8.531829834E0,-8.619377136E0,-5.456922913E1,5.590068470E1
8.055457916E-1,8.658172607E0,-8.667091370E0,-5.485978699E1,5.621101897E1
8.155077917E-1,8.677032471E0,-8.901535034E0,-5.470332336E1,5.609796614E1
8.254697917E-1,8.689605713E0,-8.746902466E0,-5.465904236E1,5.603238761E1
8.354317917E-1,8.714752197E0,-8.870750427E0,-5.479640198E1,5.618970358E1
8.453937917E-1,8.508270264E0,-8.731857300E0,-5.468098450E1,5.602362056E1
8.553557916E-1,8.605987549E0,-8.758575439E0,-5.467561340E1,5.603747288E1
8.653177917E-1,8.635772705E0,-8.821311951E0,-5.462678528E1,5.600426577E1
8.752797917E-1,8.583404541E0,-8.747268677E0,-5.446977234E1,5.583140372E1
8.852417917E-1,8.687469482E0,-8.703056335E0,-5.467941284E1,5.604510241E1
8.952037917E-1,8.469451904E0,-8.509414673E0,-5.478689575E1,5.608694768E1
9.051657916E-1,8.588348389E0,-8.556587219E0,-5.482202148E1,5.614649546E1
9.151277917E-1,8.623931885E0,-8.624061584E0,-5.468119812E1,5.602481653E1
9.250897916E-1,8.582611084E0,-8.663345337E0,-5.478128052E1,5.612221896E1
9.350517917E-1,8.585723877E0,-8.661483765E0,-5.482069397E1,5.616088000E1
9.450137917E-1,8.682830811E0,-8.821701050E0,-5.473776245E1,5.611984140E1
9.549757916E-1,8.619110107E0,-8.655921936E0,-5.464726257E1,5.599586905E1
9.649377917E-1,8.573944092E0,-8.740600586E0,-5.468380737E1,5.603774982E1
9.748997916E-1,8.519561768E0,-8.668693542E0,-5.484138489E1,5.617211654E1
9.848617917E-1,8.662139893E0,-8.767112732E0,-5.476066589E1,5.613043259E1
9.948237917E-1,8.635467529E0,-8.712707520E0,-5.473606873E1,5.609384807E1
1.004786792E0,8.631317139E0,-8.695190430E0,-5.466593933E1,5.602205722E1
1.014748792E0,8.746307373E0,-8.738922119E0,-5.482827759E1,5.620504137E1
1.024710792E0,8.669830322E0,-8.697219849E0,-5.480242920E1,5.616149782E1
1.034672792E0,8.643646240E0,-8.710845947E0,-5.477122498E1,5.612912384E1
1.044634792E0,8.643402100E0,-8.712051392E0,-5.480911255E1,5.616624482E1
1.054596792E0,8.682037354E0,-8.754333496E0,-5.464559937E1,5.601926149E1
1.064558792E0,8.592315674E0,-8.629447937E0,-5.467987061E1,5.601949223E1
1.074520792E0,8.682586670E0,-8.693176270E0,-5.486425781E1,5.622317503E1
1.084482792E0,8.768096924E0,-8.564712524E0,-5.479768372E1,5.615175834E1
1.094444792E0,8.628692627E0,-8.599769592E0,-5.476675415E1,5.610532714E1
1.104406792E0,8.599761963E0,-8.681190491E0,-5.465963745E1,5.600888269E1
1.114368792E0,8.403533936E0,-8.612030029E0,-5.481372070E1,5.611889540E1
1.124330792E0,8.523284912E0,-8.769523621E0,-5.483514404E1,5.618223876E1
1.134292792E0,8.602813721E0,-8.827217102E0,-5.483973694E1,5.620787234E1
1.144254792E0,8.696075439E0,-8.750823975E0,-5.473666382E1,5.610972299E1
1.154216792E0,8.627777100E0,-8.614730835E0,-5.463761902E1,5.598143922E1
1.164178792E0,8.560333252E0,-8.626197815E0,-5.470227051E1,5.603596160E1
1.174140792E0,8.560089111E0,-8.751968384E0,-5.471841431E1,5.607117745E1
1.184102792E0,8.539337158E0,-8.736984253E0,-5.451377869E1,5.586597569E1
1.194064792E0,8.525909424E0,-8.632614136E0,-5.468309021E1,5.601297629E1
1.204026792E0,8.523040771E0,-8.456466675E0,-5.461776733E1,5.592186121E1
1.213989792E0,8.483184814E0,-8.476722717E0,-5.477757263E1,5.607496515E1
1.223951792E0,8.515716553E0,-8.529754639E0,-5.484149170E1,5.615036380E1
1.233913792E0,8.511810303E0,-8.656898499E0,-5.474938965E1,5.607930521E1
1.243875792E0,8.622528076E0,-8.797325134E0,-5.472554016E1,5.609479179E1
1.253837792E0,8.545135498E0,-8.820663452E0,-5.485554504E1,5.621347051E1
1.263799792E0,8.548675537E0,-8.663955688E0,-5.476179504E1,5.609811207E1
1.273761792E0,8.601837158E0,-8.779342651E0,-5.471443176E1,5.607795916E1
1.283723792E0,8.447723389E0,-8.739021301E0,-5.472288513E1,5.605647760E1
1.293685792E0,8.608428955E0,-8.750877380E0,-5.490281677E1,5.625835221E1
1.303647792E0,8.569610596E0,-8.709617615E0,-5.484411621E1,5.618872438E1
1.313609792E0,8.614715576E0,-8.692283630E0,-5.481555176E1,5.616505883E1
1.323573417E0,8.648406982E0,-8.758491516E0,-5.474296570E1,5.610969979E1
1.333535417E0,8.573394775E0,-8.771003723E0,-5.470237732E1,5.606053593E1
1.343497417E0,8.626922607E0,-8.784111023E0,-5.472721863E1,5.609503417E1
1.353459417E0,8.742462158E0,-8.823471069E0,-5.470687866E1,5.609925899E1
1.363421417E0,8.769378662E0,-8.769081116E0,-5.456886292E1,5.596033940E1
1.373383417E0,8.697479248E0,-8.762512207E0,-5.468162537E1,5.605807630E1
1.383345417E0,8.878692627E0,-8.808464050E0,-5.469812012E1,5.610975464E1
1.393307417E0,8.722198486E0,-8.727684021E0,-5.463711548E1,5.601306636E1
1.403269417E0,8.742828369E0,-8.878326416E0,-5.450006104E1,5.590633578E1
1.413232417E0,8.782196045E0,-8.842742920E0,-5.459255981E1,5.599704150E1
1.423194417E0,8.863494873E0,-8.934356689E0,-5.480125427E1,5.622776663E1
1.433156417E0,8.855316162E0,-8.814765930E0,-5.487004089E1,5.627466668E1
1.443118417E0,8.765655518E0,-8.767738342E0,-5.475389099E1,5.613999048E1
1.453080417E0,8.592620850E0,-8.634963989E0,-5.485249329E1,5.618889353E1
1.463042417E0,8.685638428E0,-8.791732788E0,-5.486650085E1,5.624115749E1
1.473004417E0,8.570953369E0,-8.641487122E0,-5.486782837E1,5.620155809E1
1.482966417E0,8.726654053E0,-8.760818481E0,-5.487164307E1,5.624769901E1
1.492928417E0,8.722747803E0,-8.689529419E0,-5.472897339E1,5.609683395E1
1.502890417E0,8.733306885E0,-8.811065674E0,-5.482685852E1,5.621289837E1
1.512852417E0,8.701995850E0,-8.706657410E0,-5.468106079E1,5.604952296E1
1.522814417E0,8.534393311E0,-8.710739136E0,-5.479203796E1,5.613270232E1
1.532776417E0,8.520904541E0,-8.614128113E0,-5.498377991E1,5.630297568E1
1.542738417E0,8.509674072E0,-8.709403992E0,-5.486016846E1,5.619525206E1
1.552700417E0,8.657562256E0,-8.766670227E0,-5.490153503E1,5.626709909E1
1.562662417E0,8.699737549E0,-8.685501099E0,-5.492018127E1,5.627921174E1
1.572624417E0,8.662384033E0,-8.790603638E0,-5.496646118E1,5.633492224E1
1.582586417E0,8.717254639E0,-8.695152283E0,-5.489851379E1,5.626226994E1
1.592548417E0,8.706756592E0,-8.662765503E0,-5.483317566E1,5.619188793E1
1.602510417E0,8.568328857E0,-8.608200073E0,-5.486065674E1,5.618904720E1
1.612472417E0,8.640350342E0,-8.647865295E0,-5.490892029E1,5.625327329E1
1.622434417E0,8.697479248E0,-8.669235229E0,-5.483242798E1,5.619071936E1
1.632396417E0,8.763824463E0,-8.625465393E0,-5.477572632E1,5.613896567E1
1.642359417E0,8.711151123E0,-8.608764648E0,-5.460565186E1,5.596223903E1
1.652321417E0,8.707305908E0,-8.651077271E0,-5.472178650E1,5.608147851E1
1.662283417E0,8.700286865E0,-8.685218811E0,-5.490122986E1,5.626075948E1
1.672245417E0,8.707794189E0,-8.570861816E0,-5.490808105E1,5.625106859E1
1.682207417E0,8.701446533E0,-8.531036377E0,-5.484939575E1,5.618674192E1
1.692169417E0,8.629730225E0,-8.661972046E0,-5.478195190E1,5.612988739E1
1.702131417E0,8.512786865E0,-8.702445984E0,-5.469783020E1,5.603617345E1
1.712093417E0,8.556427002E0,-8.668716431E0,-5.478237915E1,5.612012253E1
1.722055417E0,7.940521240E0,-5.264595795E1,-5.256448364E1,7.481760292E1
1.732017417E0,1.058319092E0,-4.620568237E2,-2.977462769E1,4.630163678E2
1.741979417E0,-5.475830078E0,-8.689847412E2,-7.420425415E0,8.690336748E2
1.751941417E0,-9.438079834E0,-1.113085083E3,5.818008423E0,1.113140300E3
1.761903417E0,-1.094708252E1,-1.230929810E3,1.221481323E1,1.231039088E3
1.771865417E0,-1.187527466E1,-1.281292603E3,1.495642853E1,1.281434918E3
1.781827417E0,-1.215664673E1,-1.301357300E3,1.608261871E1,1.301513448E3
1.791789417E0,-1.227536011E1,-1.308870361E3,1.659304810E1,1.309033092E3
1.801751417E0,-1.224130249E1,-1.311644653E3,1.658002472E1,1.311806557E3
1.811713417E0,-1.230593872E1,-1.312607544E3,1.670625305E1,1.312771534E3
1.821675417E0,-1.234649658E1,-1.313101685E3,1.652874756E1,1.313263747E3
1.831637417E0,-1.238577271E1,-1.313267334E3,1.676862335E1,1.313432786E3
1.841599417E0,-1.238088989E1,-1.313176025E3,1.658045959E1,1.313339054E3
1.851561417E0,-1.233468628E1,-1.313166382E3,1.663208008E1,1.313329630E3
1.861524417E0,-1.237933350E1,-1.313371704E3,1.649443054E1,1.313533611E3
1.871486417E0,-1.239193726E1,-1.313455933E3,1.653373718E1,1.313618442E3
1.881448417E0,-1.246493530E1,-1.313394775E3,1.654972076E1,1.313558184E3
1.891410417E0,-1.245578003E1,-1.313358154E3,1.646958160E1,1.313520474E3
1.901372417E0,-1.241241455E1,-1.313232544E3,1.638007355E1,1.313393349E3
1.911334417E0,-1.241699219E1,-1.313225586E3,1.642628479E1,1.313387012E3
1.921296417E0,-1.231460571E1,-1.313368042E3,1.667215729E1,1.313531585E3
1.931258417E0,-1.231271362E1,-1.313414185E3,1.658851624E1,1.313576645E3
1.941220417E0,-1.230874634E1,-1.313619629E3,1.658133698E1,1.313781936E3
1.951182417E0,-1.238488770E1,-1.313571655E3,1.642803955E1,1.313732758E3
1.961144417E0,-1.242651367E1,-1.313408569E3,1.642469788E1,1.313570043E3
1.971106417E0,-1.248147583E1,-1.313331909E3,1.647431183E1,1.313494535E3
1.981068417E0,-1.252655029E1,-1.313273315E3,1.667265320E1,1.313438881E3
1.991030417E0,-1.246179199E1,-1.313249512E3,1.650580597E1,1.313412356E3
2.000992417E0,-1.245315552E1,-1.313378418E3,1.655886078E1,1.313541833E3
2.010954417E0,-1.241085815E1,-1.313434692E3,1.657604980E1,1.313597916E3
2.020916417E0,-1.230606079E1,-1.313426758E3,1.652901459E1,1.313588404E3
2.030878417E0,-1.240817261E1,-1.313426270E3,1.650355530E1,1.313588556E3
2.040840417E0,-1.237170410E1,-1.313463135E3,1.643635559E1,1.313624231E3
2.050802417E0,-1.244223022E1,-1.313482544E3,1.649192047E1,1.313645000E3
2.060764417E0,-1.245642090E1,-1.313445435E3,1.655759430E1,1.313608856E3
2.070727417E0,-1.261972046E1,-1.313437500E3,1.646361542E1,1.313601300E3
2.080689417E0,-1.245507812E1,-1.313363159E3,1.654540253E1,1.313526424E3
2.090651417E0,-1.246316528E1,-1.313421509E3,1.645117950E1,1.313583660E3
2.100613417E0,-1.250201416E1,-1.313423218E3,1.638426971E1,1.313584902E3
2.110575417E0,-1.256283569E1,-1.313306763E3,1.653602600E1,1.313470943E3
2.120537417E0,-1.253256226E1,-1.313295288E3,1.639822388E1,1.313457453E3
2.130499417E0,-1.257125854E1,-1.313261475E3,1.667861938E1,1.313427544E3
2.140461417E0,-1.251388550E1,-1.313368408E3,1.667846680E1,1.313533914E3
2.150423417E0,-1.251721191E1,-1.313256592E3,1.676659393E1,1.313423266E3
2.160385417E0,-1.240280151E1,-1.313391235E3,1.651609039E1,1.313553633E3
2.170347417E0,-1.244219971E1,-1.313500000E3,1.642348480E1,1.313661596E3
2.180309417E0,-1.248214722E1,-1.313455078E3,1.662654114E1,1.313619613E3
2.190271417E0,-1.243023682E1,-1.313393311E3,1.669333649E1,1.313558208E3
2.200233417E0,-1.249447632E1,-1.313361938E3,1.643743896E1,1.313524222E3
2.210195417E0,-1.242098999E1,-1.313361694E3,1.659723663E1,1.313525291E3
2.220157417E0,-1.241769409E1,-1.313378784E3,1.681834412E1,1.313545160E3
