"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.713865890739714E9,"2024-04-23 11:51:30.740 UTC+02:00"
"PAUSE",1.764838666666765E1,1.713865908388065E9,"2024-04-23 11:51:48.388 UTC+02:00"
