"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.986666678E-3,7.523223877E0,-6.313606262E0,-5.333964539E1,5.423631893E1
1.394866663E-2,7.506256104E0,-6.340866089E0,-5.322528076E1,5.412467991E1
2.391066670E-2,7.505279541E0,-6.417503357E0,-5.322930908E1,5.413753703E1
3.387266665E-2,7.474945068E0,-6.539382935E0,-5.330209351E1,5.421947533E1
4.383466672E-2,7.549835205E0,-6.540916443E0,-5.321304321E1,5.414251165E1
5.379666667E-2,7.622161865E0,-6.495231628E0,-5.338444519E1,5.431559973E1
6.375866663E-2,7.717559814E0,-6.461410522E0,-5.335585022E1,5.429693645E1
7.372066670E-2,7.528472900E0,-6.318550110E0,-5.336747742E1,5.426499448E1
8.368166664E-2,7.502410889E0,-6.480934143E0,-5.339062500E1,5.430329193E1
9.364366671E-2,7.499725342E0,-6.555862427E0,-5.319711304E1,5.412169665E1
1.036056667E-1,7.451629639E0,-6.491989136E0,-5.327502441E1,5.418395458E1
1.135676667E-1,7.684967041E0,-6.455162048E0,-5.335655212E1,5.429225995E1
1.235296667E-1,7.644989014E0,-6.413497925E0,-5.325785828E1,5.418466832E1
1.334916666E-1,7.689605713E0,-6.430366516E0,-5.330355835E1,5.423789249E1
1.434536667E-1,7.634246826E0,-6.564559937E0,-5.309162903E1,5.403791488E1
1.534156667E-1,7.638885498E0,-6.499420166E0,-5.309754944E1,5.403651349E1
1.633766667E-1,7.719207764E0,-6.439552307E0,-5.329237366E1,5.423219609E1
1.733386667E-1,7.663604736E0,-6.564170837E0,-5.319000244E1,5.413866951E1
1.833006666E-1,7.725616455E0,-6.411834717E0,-5.314080811E1,5.408088627E1
1.932626667E-1,7.605743408E0,-6.441543579E0,-5.323490906E1,5.415991469E1
2.032246666E-1,7.595123291E0,-6.297782898E0,-5.339743042E1,5.430132174E1
2.131866667E-1,7.553619385E0,-6.427734375E0,-5.325680542E1,5.417250464E1
2.231486667E-1,7.539031982E0,-6.466339111E0,-5.326600647E1,5.418411197E1
2.331106666E-1,7.632598877E0,-6.315856934E0,-5.321054077E1,5.412493200E1
2.430716667E-1,7.622406006E0,-6.283607483E0,-5.321168518E1,5.412086692E1
2.530336666E-1,7.648406982E0,-6.363555908E0,-5.317323303E1,5.409607827E1
