"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.377975833E-1,1.018173523E2,-1.773261261E1,-1.380009155E2,1.724107638E2
7.477603333E-1,1.017565002E2,-1.775939178E1,-1.379127655E2,1.723070290E2
7.577233333E-1,1.018015442E2,-1.780686188E1,-1.377894745E2,1.722398851E2
7.676863333E-1,1.017889709E2,-1.783768463E1,-1.376055145E2,1.720885099E2
7.776483333E-1,1.017078552E2,-1.772650146E1,-1.377885590E2,1.721755025E2
7.876113333E-1,1.018185730E2,-1.770628357E1,-1.377271118E2,1.721896966E2
7.975743333E-1,1.017879944E2,-1.776210785E1,-1.376562958E2,1.721207252E2
8.075373333E-1,1.017271423E2,-1.778689575E1,-1.378015594E2,1.722035276E2
8.175003333E-1,1.019560242E2,-1.780324554E1,-1.379369965E2,1.724488371E2
8.274633333E-1,1.018669128E2,-1.779843903E1,-1.378590851E2,1.723333389E2
8.374263333E-1,1.017671204E2,-1.782472992E1,-1.376177979E2,1.720840669E2
8.473893333E-1,1.017501526E2,-1.760902405E1,-1.377293549E2,1.721410656E2
8.573523333E-1,1.019185486E2,-1.768476105E1,-1.377162170E2,1.722379103E2
8.673143333E-1,1.018338928E2,-1.781074524E1,-1.374533997E2,1.719907016E2
8.772773333E-1,1.018529968E2,-1.791795349E1,-1.373630676E2,1.719409735E2
8.872403333E-1,1.019252014E2,-1.785496521E1,-1.375032043E2,1.720891562E2
8.972033333E-1,1.020534363E2,-1.787460327E1,-1.374814758E2,1.721498228E2
9.071663333E-1,1.019735413E2,-1.782571411E1,-1.374932404E2,1.721067992E2
9.171293333E-1,1.019114075E2,-1.780658722E1,-1.375252075E2,1.720935566E2
9.270923333E-1,1.019184875E2,-1.790041351E1,-1.376470032E2,1.722048210E2
9.370553333E-1,1.019729309E2,-1.790857697E1,-1.376368561E2,1.722297881E2
9.470183333E-1,1.019320984E2,-1.794337463E1,-1.377312164E2,1.722846637E2
9.569803333E-1,1.018072815E2,-1.782362366E1,-1.374405518E2,1.719660123E2
9.669433333E-1,1.020313416E2,-1.790275574E1,-1.376691284E2,1.722895593E2
9.769063333E-1,1.019861145E2,-1.776809692E1,-1.376868896E2,1.722630326E2
9.868693333E-1,1.019602356E2,-1.785635376E1,-1.374071960E2,1.720333588E2
