"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
4.979958409E-3,7.277313232E0,-7.259498596E0,-5.338125610E1,5.436191784E1
1.494195836E-2,7.234405518E0,-7.111480713E0,-5.342181396E1,5.437646539E1
2.490395831E-2,7.229461670E0,-7.094535828E0,-5.339395142E1,5.434621976E1
3.486595838E-2,7.245391846E0,-7.059997559E0,-5.350923157E1,5.445711277E1
4.482795834E-2,7.390289307E0,-7.163444519E0,-5.333073425E1,5.431480948E1
5.478995841E-2,7.395721436E0,-7.218002319E0,-5.343157959E1,5.442177827E1
6.475195836E-2,7.200775146E0,-7.128433228E0,-5.340386963E1,5.435659127E1
7.471495832E-2,7.276275635E0,-7.192031860E0,-5.330810547E1,5.428096921E1
8.467695839E-2,7.123077393E0,-7.099166870E0,-5.329039001E1,5.423100653E1
9.463895834E-2,7.082489014E0,-7.060539246E0,-5.344851685E1,5.437606843E1
1.046009584E-1,7.155120850E0,-7.244323730E0,-5.349211121E1,5.445256598E1
1.145629584E-1,7.145355225E0,-7.161064148E0,-5.356538391E1,5.451226738E1
1.245249583E-1,7.187896729E0,-7.235717773E0,-5.345819092E1,5.442241861E1
1.344869584E-1,7.134490967E0,-7.049514771E0,-5.336366272E1,5.429803973E1
1.444489583E-1,7.189056396E0,-7.132240295E0,-5.333183289E1,5.428476566E1
1.544109584E-1,7.339141846E0,-7.136215210E0,-5.334657288E1,5.431984359E1
1.643739584E-1,7.192413330E0,-7.100212097E0,-5.342846680E1,5.437595871E1
1.743359583E-1,7.335784912E0,-7.302619934E0,-5.336102295E1,5.435568754E1
1.842979584E-1,7.259674072E0,-7.264328003E0,-5.340234375E1,5.438091252E1
1.942599583E-1,7.171234131E0,-7.166091919E0,-5.334774780E1,5.430250149E1
2.042219584E-1,7.118743896E0,-7.169601440E0,-5.344633484E1,5.439292608E1
2.141839584E-1,7.150482178E0,-7.315071106E0,-5.336515808E1,5.433672568E1
2.241459583E-1,7.237091064E0,-7.255363464E0,-5.329624939E1,5.427251593E1
2.341079584E-1,7.155731201E0,-7.196693420E0,-5.346832275E1,5.442295861E1
2.440699583E-1,7.263519287E0,-7.168617249E0,-5.343299866E1,5.439883391E1
2.540329584E-1,7.264190674E0,-7.064018250E0,-5.331835938E1,5.427261065E1
2.639949584E-1,7.101348877E0,-7.128479004E0,-5.343865967E1,5.437770422E1
2.739569583E-1,7.062042236E0,-7.319496155E0,-5.334197998E1,5.430298604E1
2.839189584E-1,7.137725830E0,-7.345237732E0,-5.323759460E1,5.421384626E1
2.938809583E-1,7.213287354E0,-7.418601990E0,-5.314002991E1,5.413806377E1
3.038429584E-1,7.386016846E0,-7.278373718E0,-5.328184509E1,5.428151606E1
3.138049584E-1,7.151641846E0,-7.203918457E0,-5.334117126E1,5.429846199E1
3.237669583E-1,7.178741455E0,-7.164146423E0,-5.331544495E1,5.427150258E1
3.337289584E-1,7.212799072E0,-6.998329163E0,-5.334301758E1,5.428147572E1
3.436909583E-1,7.297698975E0,-7.210327148E0,-5.351940918E1,5.449378301E1
3.536539584E-1,7.294158936E0,-7.214149475E0,-5.331393433E1,5.429202797E1
3.636159584E-1,7.301788330E0,-7.217384338E0,-5.332200623E1,5.430140972E1
3.735779583E-1,7.257354736E0,-7.190872192E0,-5.324098206E1,5.421236031E1
3.835399584E-1,7.341094971E0,-7.160903931E0,-5.318699646E1,5.416665776E1
3.935019583E-1,7.412689209E0,-7.308868408E0,-5.330575562E1,5.431271583E1
4.034639584E-1,7.330352783E0,-7.256942749E0,-5.321437073E1,5.420485718E1
4.134259584E-1,7.271514893E0,-7.278038025E0,-5.334350586E1,5.432655321E1
4.233879583E-1,7.301177979E0,-7.318435669E0,-5.317831421E1,5.417379258E1
4.333499584E-1,7.303070068E0,-7.088310242E0,-5.323475647E1,5.419887703E1
4.433129583E-1,7.316009521E0,-7.124008179E0,-5.315586853E1,5.412782877E1
4.532749584E-1,7.163726807E0,-7.167022705E0,-5.320373535E1,5.416015742E1
4.632369584E-1,7.207244873E0,-7.144691467E0,-5.315307617E1,5.411321928E1
4.731989583E-1,7.155364990E0,-7.235435486E0,-5.316139221E1,5.412655907E1
4.831609584E-1,7.270599365E0,-7.242294312E0,-5.319494629E1,5.417577644E1
4.931229583E-1,7.186431885E0,-7.302848816E0,-5.321920776E1,5.419649877E1
5.030849584E-1,7.268890381E0,-7.196800232E0,-5.321238708E1,5.418661126E1
5.130469584E-1,7.284637451E0,-7.157554626E0,-5.326632690E1,5.423650167E1
5.230089583E-1,7.356475830E0,-7.216903687E0,-5.309704590E1,5.408787035E1
5.329718334E-1,7.280792236E0,-7.146804810E0,-5.321266174E1,5.418186158E1
5.429338333E-1,7.137420654E0,-6.962287903E0,-5.312168884E1,5.404932980E1
5.528958334E-1,7.295989990E0,-7.098442078E0,-5.329438782E1,5.425782084E1
5.628578333E-1,7.311431885E0,-7.022880554E0,-5.319882202E1,5.415618665E1
5.728198334E-1,7.355743408E0,-7.099632263E0,-5.325028992E1,5.422273615E1
5.827818334E-1,7.252960205E0,-7.113067627E0,-5.318090820E1,5.414249865E1
5.927438333E-1,7.091766357E0,-7.116317749E0,-5.321401978E1,5.415410445E1
6.027058334E-1,7.198272705E0,-7.235633850E0,-5.321980286E1,5.418963871E1
6.126678333E-1,7.137115479E0,-7.170181274E0,-5.331570435E1,5.426706411E1
6.226308334E-1,7.127716064E0,-7.184188843E0,-5.308656311E1,5.404257663E1
6.325928334E-1,7.031646729E0,-7.063743591E0,-5.288475037E1,5.381577232E1
6.425548333E-1,6.954071045E0,-7.137870789E0,-5.303164673E1,5.395983560E1
6.525168334E-1,7.075958252E0,-7.299331665E0,-5.306756592E1,5.403254557E1
6.624788333E-1,7.196929932E0,-7.156433105E0,-5.320692444E1,5.416629158E1
6.724408334E-1,7.158355713E0,-7.045326233E0,-5.324974060E1,5.418868473E1
6.824028334E-1,7.174102783E0,-7.173545837E0,-5.304586792E1,5.400732926E1
6.923648333E-1,7.149505615E0,-7.187438965E0,-5.287658691E1,5.383965224E1
7.023268334E-1,7.250335693E0,-7.294898987E0,-5.294113159E1,5.393094041E1
