"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.423985000E-1,9.093658447E0,-6.540145874E0,-5.386563110E1,5.501794567E1
6.523605001E-1,9.067779541E0,-6.400222778E0,-5.365838623E1,5.479425052E1
6.623225000E-1,9.012481689E0,-6.424743652E0,-5.382849121E1,5.495460511E1
6.722855001E-1,9.004974365E0,-6.542518616E0,-5.396485901E1,5.510081779E1
6.822475001E-1,9.069183350E0,-6.535522461E0,-5.403961182E1,5.518371848E1
6.922095000E-1,8.992034912E0,-6.569900513E0,-5.400445557E1,5.514074270E1
7.021725001E-1,9.121307373E0,-6.532035828E0,-5.386605835E1,5.502197727E1
7.121345000E-1,9.033721924E0,-6.349441528E0,-5.384669495E1,5.496717290E1
7.220965001E-1,9.155426025E0,-6.451828003E0,-5.380618286E1,5.495955990E1
7.320595001E-1,9.106781006E0,-6.596206665E0,-5.382708740E1,5.498907838E1
7.420215000E-1,9.116851807E0,-6.546546936E0,-5.377510071E1,5.493392139E1
7.519845001E-1,9.057281494E0,-6.608825684E0,-5.363790894E1,5.479722803E1
7.619465000E-1,9.035247803E0,-6.497520447E0,-5.365745544E1,5.479941605E1
7.719085000E-1,9.067291260E0,-6.522583008E0,-5.373922729E1,5.488774372E1
7.818715001E-1,9.107391357E0,-6.481918335E0,-5.365982056E1,5.481182523E1
7.918335000E-1,9.032012939E0,-6.495994568E0,-5.379034424E1,5.492882974E1
8.017955001E-1,9.075286865E0,-6.521148682E0,-5.379121399E1,5.493979354E1
8.117585001E-1,9.051422119E0,-6.498306274E0,-5.383802795E1,5.497899127E1
8.217205000E-1,9.061737061E0,-6.503746033E0,-5.376994324E1,5.491466641E1
8.316825001E-1,9.096343994E0,-6.506233215E0,-5.367546082E1,5.482818288E1
8.416455000E-1,9.018829346E0,-6.535499573E0,-5.377922058E1,5.492045706E1
8.516075001E-1,8.974700928E0,-6.537445068E0,-5.369262695E1,5.482865705E1
8.615703334E-1,8.989532471E0,-6.429153442E0,-5.375025940E1,5.487473092E1
8.715323334E-1,9.039459229E0,-6.342422485E0,-5.358082581E1,5.470688293E1
8.814943334E-1,9.063629150E0,-6.493209839E0,-5.353381348E1,5.468254139E1
8.914573333E-1,9.189910889E0,-6.583663940E0,-5.368057251E1,5.485802547E1
9.014193334E-1,9.182769775E0,-6.522789001E0,-5.374145508E1,5.490914342E1
9.113813334E-1,9.140228271E0,-6.620452881E0,-5.367683411E1,5.485049397E1
9.213443334E-1,9.156097412E0,-6.593704224E0,-5.364710999E1,5.482083058E1
9.313063334E-1,9.154205322E0,-6.495124817E0,-5.377754211E1,5.493641923E1
9.412683334E-1,9.209320068E0,-6.409446716E0,-5.377058411E1,5.492875657E1
9.512313334E-1,9.166778564E0,-6.579681396E0,-5.361381531E1,5.478834939E1
9.611933334E-1,9.090179443E0,-6.463035583E0,-5.369142151E1,5.483767806E1
9.711563333E-1,9.020477295E0,-6.569633484E0,-5.364779663E1,5.479612375E1
9.811183334E-1,8.960845947E0,-6.470268250E0,-5.375755310E1,5.488201569E1
9.910803334E-1,9.037628174E0,-6.462165833E0,-5.387528992E1,5.500895540E1
1.001043333E0,9.006072998E0,-6.418777466E0,-5.391694641E1,5.503950550E1
1.011005333E0,8.918243408E0,-6.422050476E0,-5.393484497E1,5.504312218E1
1.020967333E0,9.011688232E0,-6.445838928E0,-5.400370789E1,5.512857544E1
1.030930333E0,9.074615479E0,-6.529129028E0,-5.381501770E1,5.496393638E1
1.040892333E0,9.115081787E0,-6.480384827E0,-5.377435303E1,5.492505027E1
1.050854333E0,9.114471436E0,-6.458511353E0,-5.379074097E1,5.493841800E1
1.060817333E0,9.099822998E0,-6.590118408E0,-5.394801331E1,5.510557666E1
1.070779333E0,9.025665283E0,-6.532478333E0,-5.391648865E1,5.505564145E1
1.080742333E0,8.985382080E0,-6.550468445E0,-5.390431213E1,5.503926412E1
1.090704333E0,9.023101807E0,-6.481643677E0,-5.369601440E1,5.483329312E1
1.100666333E0,9.009368896E0,-6.611953735E0,-5.366630554E1,5.481750642E1
1.110629333E0,9.103790283E0,-6.671310425E0,-5.392764282E1,5.509606193E1
1.120591333E0,9.140716553E0,-6.591926575E0,-5.386215210E1,5.502851646E1
1.130553333E0,9.046783447E0,-6.541244507E0,-5.385383606E1,5.499879843E1
1.140516333E0,8.968780518E0,-6.582359314E0,-5.374623108E1,5.488555214E1
1.150478333E0,9.048614502E0,-6.576324463E0,-5.364663696E1,5.480042997E1
1.160440333E0,8.947906494E0,-6.605331421E0,-5.376980591E1,5.490799087E1
1.170403333E0,8.945526123E0,-6.611701965E0,-5.373809814E1,5.487731984E1
1.180365333E0,8.873138428E0,-6.621177673E0,-5.368901062E1,5.481863224E1
1.190327333E0,9.006011963E0,-6.583061218E0,-5.382373047E1,5.496761690E1
1.200290333E0,8.915740967E0,-6.617752075E0,-5.379183960E1,5.492583260E1
1.210252333E0,8.920440674E0,-6.643455505E0,-5.360525513E1,5.474699206E1
1.220215333E0,8.986785889E0,-6.590034485E0,-5.389402771E1,5.503414484E1
1.230177333E0,9.097015381E0,-6.676223755E0,-5.380685425E1,5.497731547E1
1.240139333E0,9.220062256E0,-6.681175232E0,-5.369975281E1,5.489363444E1
1.250102333E0,9.013397217E0,-6.672225952E0,-5.367419434E1,5.483319311E1
1.260064333E0,9.142120361E0,-6.642822266E0,-5.354917908E1,5.472860342E1
1.270026333E0,9.196685791E0,-6.625976562E0,-5.379823303E1,5.497938225E1
1.279989333E0,9.083770752E0,-6.544372559E0,-5.399678040E1,5.514522641E1
1.289951333E0,9.086212158E0,-6.526321411E0,-5.392904663E1,5.507716580E1
1.299913333E0,9.092498779E0,-6.473419189E0,-5.381263733E1,5.495797145E1
1.309876333E0,9.098846436E0,-6.554222107E0,-5.367208862E1,5.483101249E1
1.319838333E0,9.058868408E0,-6.458541870E0,-5.364920044E1,5.479062482E1
1.329801333E0,8.977813721E0,-6.661422729E0,-5.359727478E1,5.475074023E1
1.339763333E0,8.997283936E0,-6.533424377E0,-5.368286133E1,5.482231619E1
1.349725333E0,8.986480713E0,-6.546554565E0,-5.380735779E1,5.494402574E1
1.359688333E0,9.047637939E0,-6.563056946E0,-5.392831421E1,5.507446361E1
1.369650333E0,9.021636963E0,-6.420745850E0,-5.375755310E1,5.488615878E1
1.379612333E0,9.096649170E0,-6.475318909E0,-5.378652954E1,5.493331904E1
1.389575333E0,9.055328369E0,-6.469924927E0,-5.390657043E1,5.504341229E1
1.399537333E0,8.950775146E0,-6.589134216E0,-5.384971619E1,5.498477061E1
1.409499333E0,9.257781982E0,-6.593849182E0,-5.384103394E1,5.502765041E1
1.419462333E0,9.031524658E0,-6.412117004E0,-5.394027710E1,5.506575320E1
1.429424333E0,8.949493408E0,-6.486763000E0,-5.372785950E1,5.485302556E1
1.439387333E0,8.918853760E0,-6.441123962E0,-5.373864746E1,5.485322471E1
1.449349333E0,9.002899170E0,-6.538429260E0,-5.379945374E1,5.493800572E1
1.459311333E0,9.052459717E0,-6.589355469E0,-5.391644287E1,5.506677260E1
1.469274333E0,8.928558350E0,-6.492095947E0,-5.380422974E1,5.492505441E1
1.479236333E0,9.045867920E0,-6.541267395E0,-5.388357544E1,5.502777124E1
1.489198333E0,9.108489990E0,-6.529663086E0,-5.372074890E1,5.487731729E1
1.499161333E0,9.123504639E0,-6.627662659E0,-5.370185852E1,5.487307042E1
1.509123333E0,9.167938232E0,-6.634994507E0,-5.367832947E1,5.485833845E1
1.519085333E0,9.136627197E0,-6.718635559E0,-5.386134338E1,5.504236851E1
1.529048333E0,9.105743408E0,-6.838188171E0,-5.368212891E1,5.487664662E1
1.539010333E0,9.078582764E0,-6.625526428E0,-5.362422180E1,5.478937332E1
1.548972333E0,9.066131592E0,-6.707000732E0,-5.351863098E1,5.469389786E1
1.558935333E0,8.975067139E0,-6.609786987E0,-5.351565552E1,5.466412443E1
1.568897333E0,9.128326416E0,-6.680427551E0,-5.328034973E1,5.446788157E1
1.578860333E0,9.051849365E0,-6.661575317E0,-5.355094910E1,5.471760879E1
1.588822333E0,9.114288330E0,-6.680236816E0,-5.346258545E1,5.464379067E1
1.598784333E0,9.074432373E0,-6.617660522E0,-5.345426941E1,5.462140306E1
1.608747333E0,9.022064209E0,-6.445869446E0,-5.339472961E1,5.453387962E1
1.618709333E0,9.127105713E0,-6.652008057E0,-5.368009949E1,5.485532199E1
1.628671333E0,9.172637939E0,-6.636596680E0,-5.355136108E1,5.473508908E1
1.638634333E0,9.152862549E0,-6.668479919E0,-5.361247253E1,5.479544441E1
1.648596333E0,9.108734131E0,-6.643676758E0,-5.358843994E1,5.476155927E1
1.658558333E0,9.140899658E0,-6.669540405E0,-5.372012329E1,5.489891130E1
1.668521333E0,9.221343994E0,-6.690940857E0,-5.378746033E1,5.498083996E1
1.678483333E0,9.228729248E0,-6.660957336E0,-5.389039612E1,5.507914841E1
1.688446333E0,9.209197998E0,-6.571128845E0,-5.385559082E1,5.503102511E1
1.698408333E0,9.204254150E0,-6.671096802E0,-5.406857300E1,5.525063269E1
1.708370333E0,9.229461670E0,-6.818351746E0,-5.405552673E1,5.526004754E1
1.718333333E0,9.133026123E0,-6.661949158E0,-5.393885803E1,5.511074431E1
1.728295333E0,9.145599365E0,-6.715110779E0,-5.387240601E1,5.505425351E1
1.738257333E0,9.126983643E0,-6.670455933E0,-5.386170959E1,5.503526663E1
1.748220333E0,9.111236572E0,-6.732826233E0,-5.374415588E1,5.492522073E1
1.758182333E0,9.033416748E0,-6.686935425E0,-5.372627258E1,5.488925295E1
