"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.410810833E-1,1.279644775E1,-3.639910889E1,-8.609899902E1,9.434872461E1
7.511100833E-1,1.280297852E1,-3.639556885E1,-8.602197266E1,9.427795856E1
7.611390833E-1,1.264654541E1,-3.627337646E1,-8.608740234E1,9.426947434E1
7.711680833E-1,1.272857666E1,-3.624261475E1,-8.603802490E1,9.422359321E1
7.811970833E-1,1.266619873E1,-3.632722473E1,-8.611904907E1,9.432173906E1
7.912260833E-1,1.267407227E1,-3.630945587E1,-8.604693604E1,9.425011350E1
8.012550833E-1,1.259960938E1,-3.633299255E1,-8.597235107E1,9.418111092E1
8.112840833E-1,1.271807861E1,-3.641659546E1,-8.602832031E1,9.428037889E1
8.213140833E-1,1.284167480E1,-3.635155487E1,-8.596762085E1,9.421664390E1
8.313430833E-1,1.282952881E1,-3.631072235E1,-8.594494629E1,9.417854936E1
8.413720833E-1,1.274169922E1,-3.643213654E1,-8.597726440E1,9.424299160E1
8.514010833E-1,1.277435303E1,-3.645698547E1,-8.612551880E1,9.439227126E1
8.614300833E-1,1.281433105E1,-3.640105438E1,-8.599539185E1,9.425736713E1
8.714590833E-1,1.280950928E1,-3.645175171E1,-8.590521240E1,9.419405102E1
8.814880833E-1,1.282226562E1,-3.644666290E1,-8.597735596E1,9.425961739E1
8.915170833E-1,1.277111816E1,-3.641040802E1,-8.589175415E1,9.416056872E1
9.015460833E-1,1.276385498E1,-3.619592285E1,-8.604705811E1,9.421866606E1
9.115760833E-1,1.291442871E1,-3.635789490E1,-8.603262329E1,9.428834106E1
9.216050833E-1,1.291442871E1,-3.635789490E1,-8.603262329E1,9.428834106E1
9.316340833E-1,1.279406738E1,-3.634813690E1,-8.612945557E1,9.435654897E1
9.416630833E-1,1.271978760E1,-3.621174622E1,-8.609136963E1,9.425925676E1
9.516920833E-1,1.285803223E1,-3.626217651E1,-8.609661865E1,9.430218546E1
9.617210833E-1,1.288171387E1,-3.622492218E1,-8.602117920E1,9.422222036E1
9.717500833E-1,1.299560547E1,-3.633296204E1,-8.608941650E1,9.434170618E1
9.817790833E-1,1.275903320E1,-3.620098877E1,-8.611059570E1,9.427798899E1
9.918080833E-1,1.279840088E1,-3.618431854E1,-8.625637817E1,9.441009877E1
1.001837083E0,1.280999756E1,-3.617848206E1,-8.609747314E1,9.426427469E1
1.011867083E0,1.293853760E1,-3.615611267E1,-8.619546509E1,9.436274922E1
1.021896083E0,1.283734131E1,-3.628221130E1,-8.604010010E1,9.425547737E1
1.031925083E0,1.285803223E1,-3.629364014E1,-8.622140503E1,9.442821608E1
1.041954083E0,1.290124512E1,-3.641390991E1,-8.618194580E1,9.444438968E1
1.051983083E0,1.282110596E1,-3.627735138E1,-8.595202637E1,9.417100306E1
1.062012083E0,1.288946533E1,-3.629669189E1,-8.587603760E1,9.411844661E1
1.072041083E0,1.291961670E1,-3.635315704E1,-8.576608276E1,9.404408262E1
1.082070083E0,1.291253662E1,-3.639636993E1,-8.587448120E1,9.415867389E1
1.092099083E0,1.297039795E1,-3.647511292E1,-8.584115601E1,9.416670935E1
1.102129083E0,1.301550293E1,-3.640798950E1,-8.590808105E1,9.420797953E1
1.112158083E0,1.297894287E1,-3.645263672E1,-8.589376831E1,9.420715003E1
1.122187083E0,1.292840576E1,-3.635683441E1,-8.600885010E1,9.426815676E1
1.132216083E0,1.287524414E1,-3.632677460E1,-8.585540771E1,9.410928487E1
1.142245083E0,1.299969482E1,-3.635102081E1,-8.603475952E1,9.429935644E1
1.152274083E0,1.301525879E1,-3.644494629E1,-8.591799927E1,9.423127755E1
1.162303083E0,1.300219727E1,-3.633091736E1,-8.595745850E1,9.422142729E1
1.172332083E0,1.309216309E1,-3.639421082E1,-8.607632446E1,9.436671526E1
1.182361083E0,1.293707275E1,-3.631552887E1,-8.615921021E1,9.439065098E1
1.192390083E0,1.302166748E1,-3.632061768E1,-8.615249634E1,9.439811289E1
1.202420083E0,1.288409424E1,-3.622612762E1,-8.617654419E1,9.436487151E1
1.212449083E0,1.288409424E1,-3.622612762E1,-8.617654419E1,9.436487151E1
