"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.713866177255782E9,"2024-04-23 11:56:17.256 UTC+02:00"
"PAUSE",1.764381058339495E1,1.713866194899840E9,"2024-04-23 11:56:34.900 UTC+02:00"
